source,target,value,valueDoll
3338822,3338822,1.33,1119.8733
3338822,94996100,14123.67,11892271.3767
3338822,30682714,0.03207948,27.0112429548
3338822,94996100,11888.88,10010555.8488
150573074,118376908,17964.77828157,15126522.960864754
150573074,50630657,1500.0,1263015.0
118376908,50630657,500.0,421005.0
118376908,107889339,17464.77818157,14705517.876663756
107889339,107889339,17464.67808157,14705433.591462756
107889339,51924016,0.1,84.20100000000002
107889339,107889339,17264.67798157,14537031.507261755
107889339,50630657,200.0,168402.0
107889339,150403714,16764.67788157,14116026.423060754
107889339,11522291,500.0,421005.0
7281119,Bitstamp.net-old,2000.0,1641740.0
7281119,7281119,13064.0,10723845.68
3338822,3338822,1.33,1119.8733
3338822,94996100,14123.67,11892271.3767
53348471,94996100,9000.0,7578090.0
3338822,94996100,11888.88,10010555.8488
Bitstamp.net-old,7281119,176.0,148193.76
Bitstamp.net-old,7281119,246.0,207134.46
Bitstamp.net-old,7281119,292.0,245866.92
150573074,118376908,17964.77828157,15126522.960864754
118376908,107889339,17464.77818157,14705517.876663756
107889339,107889339,17464.67808157,14705433.591462756
107889339,107889339,17264.67798157,14537031.507261755
107889339,150403714,16764.67788157,14116026.423060754
7281119,7281119,13064.0,10723845.68
